id,country,category,label,band_lower_percent,band_upper_percent,start_date,end_date,length_days,battery_bufferable_days,critical_days,min_renewable_share_percent,avg_renewable_share_percent,avg_load_gw,avg_residual_load_gw,peak_residual_load_gw,residual_energy_gwh
DE-B-2023-01,de,B,B2,40.0,60.0,2023-01-09,2023-01-10,2,1,1,51.1,52.45,58.85,34.9,50.39,1675.2
DE-B-2023-02,de,B,B2,40.0,60.0,2023-01-16,2023-01-17,2,1,1,51.1,55.5,61.08,34.08,52.74,1636.0
DE-B-2023-03,de,B,B2,40.0,60.0,2023-02-09,2023-02-10,2,1,1,49.1,50.55,61.92,37.48,51.63,1799.2
DE-B-2023-04,de,B,B2,40.0,60.0,2023-03-04,2023-03-05,2,1,1,46.6,51.7,50.18,30.69,45.23,1473.1
DE-B-2023-05,de,B,B3,40.0,60.0,2023-03-17,2023-03-19,3,1,2,42.7,49.6,49.23,31.18,49.49,2244.7
DE-B-2023-06,de,B,B2,40.0,60.0,2023-03-28,2023-03-29,2,1,1,42.9,46.95,57.25,37.17,53.63,1784.1
DE-B-2023-07,de,B,B2,40.0,60.0,2023-04-06,2023-04-07,2,1,1,49.1,53.05,49.78,30.18,49.56,1448.5
DE-B-2023-08,de,B,B4,40.0,60.0,2023-04-15,2023-04-18,4,1,3,40.6,47.08,49.91,33.05,51.06,3172.7
DE-B-2023-09,de,B,B9,40.0,60.0,2023-04-26,2023-05-04,9,1,8,42.0,51.2,49.87,31.63,53.65,6832.7
DE-B-2023-10,de,B,B4,40.0,60.0,2023-05-12,2023-05-15,4,1,3,48.8,52.6,47.73,30.35,47.54,2914.0
DE-B-2023-11,de,B,B2,40.0,60.0,2023-05-24,2023-05-25,2,1,1,46.5,51.6,52.41,32.88,49.27,1578.0
DE-B-2023-12,de,B,B4,40.0,60.0,2023-06-05,2023-06-08,4,1,3,44.0,48.8,49.37,32.65,47.09,3134.3
DE-B-2023-13,de,B,B12,40.0,60.0,2023-06-14,2023-06-25,12,1,11,43.9,50.17,49.35,31.65,50.76,9115.8
DE-B-2023-14,de,B,B2,40.0,60.0,2023-07-06,2023-07-07,2,1,1,48.8,52.05,51.53,31.66,50.66,1519.5
DE-B-2023-15,de,B,B2,40.0,60.0,2023-07-10,2023-07-11,2,1,1,47.0,50.3,52.83,32.95,49.46,1581.7
DE-B-2023-16,de,B,B2,40.0,60.0,2023-07-13,2023-07-14,2,1,1,46.3,52.6,51.78,31.66,45.62,1519.7
DE-B-2023-17,de,B,B3,40.0,60.0,2023-07-18,2023-07-20,3,1,2,43.1,47.63,51.71,34.17,50.16,2460.0
DE-B-2023-18,de,B,B6,40.0,60.0,2023-07-24,2023-07-29,6,1,5,47.9,54.33,49.46,29.74,44.55,4282.7
DE-B-2023-19,de,B,B3,40.0,60.0,2023-08-04,2023-08-06,3,1,2,45.9,50.83,43.94,29.03,43.74,2089.9
DE-B-2023-20,de,B,B12,40.0,60.0,2023-08-09,2023-08-20,12,1,11,40.2,48.99,47.79,31.5,50.1,9071.2
DE-B-2023-21,de,B,B3,40.0,60.0,2023-08-25,2023-08-27,3,1,2,40.0,45.97,45.58,31.77,47.49,2287.4
DE-B-2023-22,de,B,B11,40.0,60.0,2023-08-31,2023-09-10,11,1,10,40.9,48.63,48.5,31.91,51.34,8424.2
DE-B-2023-23,de,B,B3,40.0,60.0,2023-09-15,2023-09-17,3,1,2,47.1,49.87,45.66,29.65,47.97,2135.1
DE-B-2023-24,de,B,B2,40.0,60.0,2023-09-21,2023-09-22,2,1,1,46.2,50.75,53.4,32.89,48.59,1578.5
DE-B-2023-25,de,B,B5,40.0,60.0,2023-09-28,2023-10-02,5,1,4,46.3,52.76,47.86,29.38,56.8,3525.6
DE-B-2023-26,de,B,B3,40.0,60.0,2023-10-08,2023-10-10,3,1,2,40.3,42.27,50.14,35.6,54.01,2563.2
DE-B-2023-27,de,B,B2,40.0,60.0,2023-10-18,2023-10-19,2,1,1,53.0,53.9,57.99,32.91,47.92,1579.7
DE-B-2023-28,de,B,B2,40.0,60.0,2023-10-30,2023-10-31,2,1,1,56.0,56.3,54.37,30.74,50.05,1475.6
DE-B-2023-29,de,B,B2,40.0,60.0,2023-11-10,2023-11-11,2,1,1,47.0,50.9,54.3,33.65,47.64,1615.3
DE-B-2023-30,de,B,B2,40.0,60.0,2023-11-15,2023-11-16,2,1,1,44.9,49.0,60.38,38.52,58.81,1848.9
DE-B-2023-31,de,B,B2,40.0,60.0,2023-12-04,2023-12-05,2,1,1,42.4,44.15,64.75,43.59,55.02,2092.2
