id,country,category,label,band_lower_percent,band_upper_percent,start_date,end_date,length_days,battery_bufferable_days,critical_days,min_renewable_share_percent,avg_renewable_share_percent,avg_load_gw,avg_residual_load_gw,peak_residual_load_gw,residual_energy_gwh
DE-A-2024-01,de,A,A4,0.0,40.0,2024-01-09,2024-01-12,4,1,3,25.4,29.12,64.22,53.44,65.67,5130.0
DE-A-2024-02,de,A,A2,0.0,40.0,2024-01-17,2024-01-18,2,1,1,30.0,32.25,65.83,52.29,65.07,2509.9
DE-A-2024-03,de,A,A2,0.0,40.0,2024-02-27,2024-02-28,2,1,1,29.5,29.9,59.7,49.63,63.59,2382.2
DE-A-2024-04,de,A,A3,0.0,40.0,2024-03-04,2024-03-06,3,1,2,30.7,33.6,59.83,47.08,60.03,3389.9
DE-A-2024-05,de,A,A2,0.0,40.0,2024-03-12,2024-03-13,2,1,1,28.6,33.75,59.09,46.49,60.29,2231.7
DE-A-2024-06,de,A,A3,0.0,40.0,2024-05-06,2024-05-08,3,1,2,37.0,38.47,53.96,40.84,51.53,2940.1
DE-A-2024-07,de,A,A2,0.0,40.0,2024-09-03,2024-09-04,2,1,1,36.7,37.6,55.9,41.63,56.71,1998.2
DE-A-2024-08,de,A,A2,0.0,40.0,2024-10-29,2024-10-30,2,1,1,29.1,30.65,55.28,45.32,56.8,2175.3
DE-A-2024-09,de,A,A14,0.0,40.0,2024-11-02,2024-11-15,14,1,13,15.6,27.98,56.06,47.38,66.4,15918.3
DE-A-2024-10,de,A,A4,0.0,40.0,2024-12-10,2024-12-13,4,1,3,16.2,24.35,61.77,54.27,67.36,5210.3
DE-A-2024-11,de,A,A4,0.0,40.0,2024-12-25,2024-12-28,4,1,3,24.6,29.98,46.53,39.83,56.06,3823.3
