id,country,category,label,band_lower_percent,band_upper_percent,start_date,end_date,length_days,battery_bufferable_days,critical_days,min_renewable_share_percent,avg_renewable_share_percent,avg_load_gw,avg_residual_load_gw,peak_residual_load_gw,residual_energy_gwh
DE-B-2024-01,de,B,B5,40.0,60.0,2024-01-04,2024-01-08,5,1,4,46.3,51.78,56.06,34.43,54.97,4131.7
DE-B-2024-02,de,B,B2,40.0,60.0,2024-01-15,2024-01-16,2,1,1,40.4,48.65,65.12,40.77,56.67,1957.2
DE-B-2024-03,de,B,B3,40.0,60.0,2024-01-29,2024-01-31,3,1,2,52.7,54.13,60.53,35.63,54.8,2565.0
DE-B-2024-04,de,B,B9,40.0,60.0,2024-02-09,2024-02-17,9,1,8,41.1,51.39,55.93,34.59,53.38,7470.5
DE-B-2024-05,de,B,B2,40.0,60.0,2024-02-25,2024-02-26,2,1,1,43.1,50.2,53.3,34.67,49.2,1664.4
DE-B-2024-06,de,B,B2,40.0,60.0,2024-02-29,2024-03-01,2,1,1,46.8,52.35,59.43,35.84,49.46,1720.1
DE-B-2024-07,de,B,B3,40.0,60.0,2024-03-17,2024-03-19,3,1,2,40.4,45.17,53.61,37.25,58.11,2681.7
DE-B-2024-08,de,B,B2,40.0,60.0,2024-03-21,2024-03-22,2,1,1,45.9,51.85,57.03,35.04,52.05,1682.0
DE-B-2024-09,de,B,B2,40.0,60.0,2024-03-30,2024-03-31,2,1,1,55.1,56.1,41.21,25.41,38.98,1194.3
DE-B-2024-10,de,B,B5,40.0,60.0,2024-04-22,2024-04-26,5,1,4,41.7,44.5,56.2,38.7,55.08,4643.7
DE-B-2024-11,de,B,B2,40.0,60.0,2024-05-03,2024-05-04,2,1,1,47.8,52.45,49.31,30.54,43.95,1466.0
DE-B-2024-12,de,B,B2,40.0,60.0,2024-05-09,2024-05-10,2,1,1,51.9,54.05,44.05,27.99,45.33,1343.4
DE-B-2024-13,de,B,B2,40.0,60.0,2024-05-18,2024-05-19,2,1,1,57.1,57.3,42.28,25.78,39.13,1237.6
DE-B-2024-14,de,B,B4,40.0,60.0,2024-05-22,2024-05-25,4,1,3,43.5,51.05,49.46,31.79,48.81,3051.4
DE-B-2024-15,de,B,B2,40.0,60.0,2024-05-27,2024-05-28,2,1,1,47.0,48.75,50.39,33.36,48.52,1601.5
DE-B-2024-16,de,B,B2,40.0,60.0,2024-05-30,2024-05-31,2,1,1,45.7,45.75,47.19,33.32,42.35,1599.2
DE-B-2024-17,de,B,B2,40.0,60.0,2024-06-03,2024-06-04,2,1,1,42.7,44.2,52.39,36.1,48.42,1732.6
DE-B-2024-18,de,B,B2,40.0,60.0,2024-06-06,2024-06-07,2,1,1,52.7,53.75,51.63,31.0,47.9,1488.1
