id,country,category,label,band_lower_percent,band_upper_percent,start_date,end_date,length_days,battery_bufferable_days,critical_days,min_renewable_share_percent,avg_renewable_share_percent,avg_load_gw,avg_residual_load_gw,peak_residual_load_gw,residual_energy_gwh
DE-A-2020-01,de,A,A8,0.0,40.0,2020-01-19,2020-01-26,8,1,7,19.5,30.38,60.94,49.9,69.01,9580.9
DE-A-2020-02,de,A,A2,0.0,40.0,2020-02-06,2020-02-07,2,1,1,32.0,33.4,64.77,51.01,66.03,2448.4
DE-A-2020-03,de,A,A4,0.0,40.0,2020-03-02,2020-03-05,4,1,3,32.4,35.9,62.61,47.6,65.67,4569.6
DE-A-2020-04,de,A,A2,0.0,40.0,2020-03-19,2020-03-20,2,1,1,27.6,33.1,57.5,45.93,62.36,2204.5
DE-A-2020-05,de,A,A3,0.0,40.0,2020-04-27,2020-04-29,3,1,2,35.1,37.53,53.05,40.43,53.47,2911.0
DE-A-2020-06,de,A,A3,0.0,40.0,2020-06-08,2020-06-10,3,1,2,30.0,31.43,53.37,43.74,52.22,3149.0
DE-A-2020-07,de,A,A5,0.0,40.0,2020-06-15,2020-06-19,5,1,4,28.1,35.14,53.63,42.4,53.82,5088.6
DE-A-2020-08,de,A,A2,0.0,40.0,2020-07-08,2020-07-09,2,1,1,34.5,36.35,55.92,43.27,54.14,2076.8
DE-A-2020-09,de,A,A4,0.0,40.0,2020-07-14,2020-07-17,4,1,3,25.9,31.02,54.39,45.17,56.06,4336.1
DE-A-2020-10,de,A,A2,0.0,40.0,2020-07-22,2020-07-23,2,1,1,39.2,39.45,53.83,40.15,51.23,1927.2
DE-A-2020-11,de,A,A2,0.0,40.0,2020-08-03,2020-08-04,2,1,1,32.6,32.8,52.03,42.43,51.49,2036.8
DE-A-2020-12,de,A,A3,0.0,40.0,2020-08-13,2020-08-15,3,1,2,31.2,35.7,52.36,41.05,52.92,2955.9
DE-A-2020-13,de,A,A3,0.0,40.0,2020-08-17,2020-08-19,3,1,2,32.0,33.27,54.97,43.95,55.27,3164.7
DE-A-2020-14,de,A,A4,0.0,40.0,2020-08-30,2020-09-02,4,1,3,29.8,33.1,52.32,42.68,57.26,4097.4
DE-A-2020-15,de,A,A2,0.0,40.0,2020-09-10,2020-09-11,2,1,1,36.0,36.35,56.0,43.14,60.23,2070.8
DE-A-2020-16,de,A,A3,0.0,40.0,2020-09-14,2020-09-16,3,1,2,32.1,35.57,56.77,43.81,60.98,3154.4
DE-A-2020-17,de,A,A3,0.0,40.0,2020-09-21,2020-09-23,3,1,2,28.0,32.07,56.07,45.17,62.11,3252.2
DE-A-2020-18,de,A,A3,0.0,40.0,2020-09-28,2020-09-30,3,1,2,24.5,26.6,57.23,49.34,62.55,3552.1
DE-A-2020-19,de,A,A2,0.0,40.0,2020-10-12,2020-10-13,2,1,1,26.3,27.8,58.77,50.0,65.14,2400.2
DE-A-2020-20,de,A,A2,0.0,40.0,2020-10-16,2020-10-17,2,1,1,24.4,25.9,54.6,48.05,60.8,2306.2
DE-A-2020-21,de,A,A8,0.0,40.0,2020-11-06,2020-11-13,8,1,7,18.2,28.99,58.1,48.91,68.29,9389.9
DE-A-2020-22,de,A,A9,0.0,40.0,2020-11-24,2020-12-02,9,1,8,17.9,26.72,62.17,52.71,69.7,11385.9
DE-A-2020-23,de,A,A9,0.0,40.0,2020-12-05,2020-12-13,9,1,8,16.9,28.46,60.17,50.39,72.5,10884.2
DE-A-2020-24,de,A,A2,0.0,40.0,2020-12-15,2020-12-16,2,1,1,31.3,32.15,63.49,50.28,62.01,2413.4
