id,country,category,label,band_lower_percent,band_upper_percent,start_date,end_date,length_days,battery_bufferable_days,critical_days,min_renewable_share_percent,avg_renewable_share_percent,avg_load_gw,avg_residual_load_gw,peak_residual_load_gw,residual_energy_gwh
DE-B-2020-01,de,B,B2,40.0,60.0,2020-01-01,2020-01-02,2,1,1,40.3,42.9,50.46,35.96,46.38,1726.1
DE-B-2020-02,de,B,B7,40.0,60.0,2020-01-05,2020-01-11,7,1,6,43.3,47.76,59.96,38.54,57.83,6475.0
DE-B-2020-03,de,B,B3,40.0,60.0,2020-01-16,2020-01-18,3,1,2,44.8,50.03,61.58,38.02,55.1,2737.7
DE-B-2020-04,de,B,B3,40.0,60.0,2020-02-03,2020-02-05,3,1,2,41.2,51.27,65.55,39.69,60.94,2858.0
DE-B-2020-05,de,B,B2,40.0,60.0,2020-03-06,2020-03-07,2,1,1,50.1,50.3,58.8,36.88,48.74,1770.5
DE-B-2020-06,de,B,B3,40.0,60.0,2020-03-16,2020-03-18,3,1,2,40.1,43.4,59.9,41.31,65.18,2974.3
DE-B-2020-07,de,B,B4,40.0,60.0,2020-03-24,2020-03-27,4,1,3,58.7,59.3,57.04,30.46,47.25,2924.1
DE-B-2020-08,de,B,B4,40.0,60.0,2020-04-01,2020-04-04,4,1,3,47.3,52.83,55.13,33.02,50.24,3169.8
DE-B-2020-09,de,B,B6,40.0,60.0,2020-04-07,2020-04-12,6,1,5,43.2,46.72,47.76,32.69,54.06,4707.2
DE-B-2020-10,de,B,B3,40.0,60.0,2020-04-14,2020-04-16,3,1,2,44.0,52.4,53.06,32.31,48.98,2326.6
DE-B-2020-11,de,B,B4,40.0,60.0,2020-04-23,2020-04-26,4,1,3,44.3,50.38,48.68,31.33,53.59,3008.1
DE-B-2020-12,de,B,B6,40.0,60.0,2020-05-05,2020-05-10,6,1,5,40.0,47.08,50.31,34.08,53.98,4906.9
DE-B-2020-13,de,B,B2,40.0,60.0,2020-05-14,2020-05-15,2,1,1,43.5,47.4,54.52,36.5,48.89,1751.9
DE-B-2020-14,de,B,B2,40.0,60.0,2020-05-18,2020-05-19,2,1,1,45.6,50.3,54.0,34.27,50.83,1645.2
DE-B-2020-15,de,B,B2,40.0,60.0,2020-05-21,2020-05-22,2,1,1,49.9,52.95,45.37,28.77,41.56,1380.7
DE-B-2020-16,de,B,B4,40.0,60.0,2020-05-27,2020-05-30,4,1,3,43.3,50.3,51.09,32.95,48.68,3163.4
DE-B-2020-17,de,B,B2,40.0,60.0,2020-06-02,2020-06-03,2,1,1,43.5,43.6,53.11,36.8,50.34,1766.2
DE-B-2020-18,de,B,B2,40.0,60.0,2020-06-11,2020-06-12,2,1,1,46.4,52.45,48.54,30.26,37.92,1452.4
DE-B-2020-19,de,B,B8,40.0,60.0,2020-06-20,2020-06-27,8,1,7,41.2,48.31,50.43,33.82,51.59,6494.2
DE-B-2020-20,de,B,B3,40.0,60.0,2020-07-01,2020-07-03,3,1,2,40.8,47.57,54.77,36.47,49.92,2625.5
DE-B-2020-21,de,B,B4,40.0,60.0,2020-07-10,2020-07-13,4,1,3,41.0,50.05,48.69,31.97,52.45,3069.3
DE-B-2020-22,de,B,B4,40.0,60.0,2020-07-18,2020-07-21,4,1,3,40.3,43.77,47.93,34.46,47.31,3308.1
DE-B-2020-23,de,B,B2,40.0,60.0,2020-07-24,2020-07-25,2,1,1,47.5,47.55,48.85,33.02,44.07,1585.0
DE-B-2020-24,de,B,B4,40.0,60.0,2020-07-30,2020-08-02,4,1,3,41.3,45.8,48.56,33.55,51.6,3221.1
DE-B-2020-25,de,B,B8,40.0,60.0,2020-08-05,2020-08-12,8,1,7,40.0,46.46,52.32,35.35,52.64,6787.0
DE-B-2020-26,de,B,B2,40.0,60.0,2020-08-20,2020-08-21,2,1,1,41.2,46.65,56.21,36.86,55.68,1769.2
DE-B-2020-27,de,B,B2,40.0,60.0,2020-08-24,2020-08-25,2,1,1,41.4,43.4,54.98,37.97,51.57,1822.7
DE-B-2020-28,de,B,B3,40.0,60.0,2020-08-27,2020-08-29,3,1,2,45.2,47.07,52.5,34.61,56.36,2491.7
DE-B-2020-29,de,B,B4,40.0,60.0,2020-09-03,2020-09-06,4,1,3,47.9,48.98,50.7,33.35,49.25,3201.2
DE-B-2020-30,de,B,B2,40.0,60.0,2020-09-08,2020-09-09,2,1,1,50.5,51.15,57.99,35.76,53.24,1716.7
DE-B-2020-31,de,B,B4,40.0,60.0,2020-09-17,2020-09-20,4,1,3,47.3,50.0,50.67,32.44,50.83,3114.6
DE-B-2020-32,de,B,B4,40.0,60.0,2020-09-24,2020-09-27,4,1,3,41.7,48.65,52.22,33.97,51.48,3261.3
DE-B-2020-33,de,B,B2,40.0,60.0,2020-10-01,2020-10-02,2,1,1,44.9,47.9,58.51,37.91,54.02,1819.6
DE-B-2020-34,de,B,B3,40.0,60.0,2020-10-05,2020-10-07,3,1,2,50.7,54.23,60.47,35.2,48.14,2534.5
DE-B-2020-35,de,B,B3,40.0,60.0,2020-10-09,2020-10-11,3,1,2,40.7,48.27,52.39,34.63,56.65,2493.0
DE-B-2020-36,de,B,B2,40.0,60.0,2020-10-14,2020-10-15,2,1,1,42.1,48.8,62.61,39.53,55.76,1897.6
DE-B-2020-37,de,B,B2,40.0,60.0,2020-10-20,2020-10-21,2,1,1,50.8,53.05,61.64,36.24,51.68,1739.4
DE-B-2020-38,de,B,B3,40.0,60.0,2020-10-29,2020-10-31,3,1,2,48.3,55.23,57.82,33.16,50.25,2387.6
DE-B-2020-39,de,B,B3,40.0,60.0,2020-11-03,2020-11-05,3,1,2,40.4,43.67,62.27,42.65,59.58,3070.5
DE-B-2020-40,de,B,B2,40.0,60.0,2020-11-17,2020-11-18,2,1,1,51.7,52.2,63.19,37.34,48.82,1792.5
DE-B-2020-41,de,B,B2,40.0,60.0,2020-12-03,2020-12-04,2,1,1,40.2,44.25,67.17,44.61,59.07,2141.2
DE-B-2020-42,de,B,B2,40.0,60.0,2020-12-17,2020-12-18,2,1,1,48.9,49.15,61.99,38.82,49.69,1863.3
DE-B-2020-43,de,B,B2,40.0,60.0,2020-12-20,2020-12-21,2,1,1,50.1,52.45,53.4,32.31,42.23,1550.7
DE-B-2020-44,de,B,B4,40.0,60.0,2020-12-28,2020-12-31,4,1,3,40.9,45.12,51.3,35.32,49.64,3390.3
