id,country,category,label,band_lower_percent,band_upper_percent,start_date,end_date,length_days,battery_bufferable_days,critical_days,min_renewable_share_percent,avg_renewable_share_percent,avg_load_gw,avg_residual_load_gw,peak_residual_load_gw,residual_energy_gwh
DE-A-2022-01,de,A,A3,0.0,40.0,2022-01-10,2022-01-12,3,1,2,18.6,22.93,65.37,57.54,71.62,4142.7
DE-A-2022-02,de,A,A3,0.0,40.0,2022-01-23,2022-01-25,3,1,2,22.0,24.0,61.28,54.02,69.81,3889.4
DE-A-2022-03,de,A,A7,0.0,40.0,2022-03-01,2022-03-07,7,1,6,24.5,32.51,60.43,47.89,67.98,8045.5
DE-A-2022-04,de,A,A2,0.0,40.0,2022-03-14,2022-03-15,2,1,1,21.4,29.75,61.65,50.26,65.68,2412.3
DE-A-2022-05,de,A,A4,0.0,40.0,2022-03-22,2022-03-25,4,1,3,30.6,32.9,59.45,46.92,64.48,4503.9
DE-A-2022-06,de,A,A3,0.0,40.0,2022-03-28,2022-03-30,3,1,2,25.2,32.27,59.86,47.61,61.68,3427.8
DE-A-2022-07,de,A,A3,0.0,40.0,2022-04-25,2022-04-27,3,1,2,30.7,33.47,57.98,45.71,57.76,3291.4
DE-A-2022-08,de,A,A8,0.0,40.0,2022-04-29,2022-05-06,8,1,7,31.1,35.52,54.14,41.93,57.75,8051.3
DE-A-2022-09,de,A,A2,0.0,40.0,2022-05-30,2022-05-31,2,1,1,35.1,35.35,55.6,43.63,55.32,2094.4
DE-A-2022-10,de,A,A5,0.0,40.0,2022-08-16,2022-08-20,5,1,4,29.6,35.14,51.2,40.13,53.19,4816.0
DE-A-2022-11,de,A,A2,0.0,40.0,2022-09-07,2022-09-08,2,1,1,38.2,38.85,55.54,40.8,54.87,1958.6
DE-A-2022-12,de,A,A2,0.0,40.0,2022-09-11,2022-09-12,2,1,1,36.3,37.5,46.78,36.14,52.03,1734.7
DE-A-2022-13,de,A,A6,0.0,40.0,2022-09-20,2022-09-25,6,1,5,31.9,35.65,50.45,39.69,58.56,5715.4
DE-A-2022-14,de,A,A2,0.0,40.0,2022-09-28,2022-09-29,2,1,1,27.9,28.0,54.76,46.94,58.89,2253.1
DE-A-2022-15,de,A,A4,0.0,40.0,2022-10-11,2022-10-14,4,1,3,30.5,32.58,54.98,44.21,59.16,4244.5
DE-A-2022-16,de,A,A2,0.0,40.0,2022-10-18,2022-10-19,2,1,1,33.4,33.8,55.94,43.66,56.03,2095.8
DE-A-2022-17,de,A,A3,0.0,40.0,2022-11-19,2022-11-21,3,1,2,31.5,32.9,51.64,41.32,55.68,2975.1
DE-A-2022-18,de,A,A3,0.0,40.0,2022-11-24,2022-11-26,3,1,2,34.7,37.47,55.19,41.46,56.27,2985.3
DE-A-2022-19,de,A,A20,0.0,40.0,2022-11-28,2022-12-17,20,1,19,19.2,26.41,58.71,50.01,66.52,24005.4
