id,country,category,label,band_lower_percent,band_upper_percent,start_date,end_date,length_days,battery_bufferable_days,critical_days,min_renewable_share_percent,avg_renewable_share_percent,avg_load_gw,avg_residual_load_gw,peak_residual_load_gw,residual_energy_gwh
DE-B-2022-01,de,B,B4,40.0,60.0,2022-01-06,2022-01-09,4,1,3,41.6,51.92,59.47,35.97,56.46,3453.3
DE-B-2022-02,de,B,B2,40.0,60.0,2022-01-13,2022-01-14,2,1,1,42.0,43.7,67.55,45.1,61.18,2164.7
DE-B-2022-03,de,B,B2,40.0,60.0,2022-01-16,2022-01-17,2,1,1,52.6,55.05,61.79,34.74,50.73,1667.5
DE-B-2022-04,de,B,B2,40.0,60.0,2022-01-21,2022-01-22,2,1,1,40.4,45.75,63.02,40.91,53.55,1963.8
DE-B-2022-05,de,B,B4,40.0,60.0,2022-02-09,2022-02-12,4,1,3,41.2,48.9,63.7,39.76,59.09,3816.6
DE-B-2022-06,de,B,B2,40.0,60.0,2022-02-27,2022-02-28,2,1,1,48.0,52.55,56.93,34.13,52.96,1638.0
DE-B-2022-07,de,B,B3,40.0,60.0,2022-03-16,2022-03-18,3,1,2,40.4,41.63,62.04,43.25,59.85,3113.7
DE-B-2022-08,de,B,B2,40.0,60.0,2022-03-26,2022-03-27,2,1,1,42.5,47.05,49.3,32.83,48.79,1543.0
DE-B-2022-09,de,B,B4,40.0,60.0,2022-03-31,2022-04-03,4,1,3,48.0,51.15,58.76,35.6,49.57,3418.0
DE-B-2022-10,de,B,B4,40.0,60.0,2022-04-18,2022-04-21,4,1,3,43.8,49.77,53.75,34.4,51.79,3302.0
DE-B-2022-11,de,B,B4,40.0,60.0,2022-05-07,2022-05-10,4,1,3,41.7,46.9,52.27,34.94,56.93,3354.1
DE-B-2022-12,de,B,B2,40.0,60.0,2022-05-15,2022-05-16,2,1,1,49.7,52.45,50.81,31.81,47.83,1527.1
DE-B-2022-13,de,B,B3,40.0,60.0,2022-05-18,2022-05-20,3,1,2,47.4,47.63,58.36,38.31,54.99,2758.5
DE-B-2022-14,de,B,B2,40.0,60.0,2022-05-24,2022-05-25,2,1,1,54.5,54.9,56.65,33.35,47.85,1600.9
DE-B-2022-15,de,B,B4,40.0,60.0,2022-06-01,2022-06-04,4,1,3,42.0,46.75,52.93,35.84,52.29,3441.0
DE-B-2022-16,de,B,B3,40.0,60.0,2022-06-09,2022-06-11,3,1,2,42.4,48.33,52.61,34.95,49.33,2516.1
DE-B-2022-17,de,B,B5,40.0,60.0,2022-06-13,2022-06-17,5,1,4,43.2,49.54,52.95,34.13,51.94,4095.2
DE-B-2022-18,de,B,B2,40.0,60.0,2022-06-20,2022-06-21,2,1,1,44.0,44.8,55.29,37.75,53.32,1812.2
DE-B-2022-19,de,B,B10,40.0,60.0,2022-06-23,2022-07-02,10,1,9,40.0,45.95,52.58,35.69,51.91,8566.7
DE-B-2022-20,de,B,B5,40.0,60.0,2022-07-04,2022-07-08,5,1,4,49.4,52.38,55.7,33.51,46.25,4021.4
DE-B-2022-21,de,B,B4,40.0,60.0,2022-07-12,2022-07-15,4,1,3,43.3,48.6,55.13,35.02,49.71,3361.7
DE-B-2022-22,de,B,B8,40.0,60.0,2022-07-17,2022-07-24,8,1,7,41.8,48.99,50.62,32.72,52.41,6281.9
DE-B-2022-23,de,B,B21,40.0,60.0,2022-07-26,2022-08-15,21,1,20,41.8,46.89,50.18,33.45,52.66,16859.8
DE-B-2022-24,de,B,B3,40.0,60.0,2022-08-23,2022-08-25,3,1,2,41.3,43.27,53.48,37.22,51.49,2679.6
DE-B-2022-25,de,B,B5,40.0,60.0,2022-08-29,2022-09-02,5,1,4,40.3,44.92,52.87,35.91,51.21,4309.6
DE-B-2022-26,de,B,B2,40.0,60.0,2022-09-05,2022-09-06,2,1,1,52.7,53.45,55.17,32.4,46.46,1555.4
DE-B-2022-27,de,B,B2,40.0,60.0,2022-09-09,2022-09-10,2,1,1,40.9,41.7,49.5,35.82,46.98,1719.3
DE-B-2022-28,de,B,B2,40.0,60.0,2022-10-09,2022-10-10,2,1,1,54.9,56.2,49.83,28.91,45.36,1387.6
DE-B-2022-29,de,B,B2,40.0,60.0,2022-10-22,2022-10-23,2,1,1,46.2,50.6,45.06,29.21,42.4,1401.9
DE-B-2022-30,de,B,B2,40.0,60.0,2022-10-27,2022-10-28,2,1,1,48.5,50.55,55.15,34.67,52.26,1664.0
DE-B-2022-31,de,B,B3,40.0,60.0,2022-11-03,2022-11-05,3,1,2,43.3,51.3,54.41,33.49,54.45,2411.3
DE-B-2022-32,de,B,B2,40.0,60.0,2022-11-10,2022-11-11,2,1,1,52.9,56.3,58.0,32.26,45.51,1548.3
DE-B-2022-33,de,B,B4,40.0,60.0,2022-11-13,2022-11-16,4,1,3,44.7,48.5,54.59,34.79,51.53,3340.2
DE-B-2022-34,de,B,B2,40.0,60.0,2022-11-22,2022-11-23,2,1,1,48.0,48.25,59.8,37.91,48.46,1819.8
DE-B-2022-35,de,B,B6,40.0,60.0,2022-12-18,2022-12-23,6,1,5,40.9,50.82,56.27,34.24,49.67,4931.0
