id,country,category,label,band_lower_percent,band_upper_percent,start_date,end_date,length_days,battery_bufferable_days,critical_days,min_renewable_share_percent,avg_renewable_share_percent,avg_load_gw,avg_residual_load_gw,peak_residual_load_gw,residual_energy_gwh
DE-A-2021-01,de,A,A2,0.0,40.0,2021-01-01,2021-01-02,2,1,1,23.4,24.05,47.31,42.96,55.07,2062.3
DE-A-2021-02,de,A,A7,0.0,40.0,2021-01-04,2021-01-10,7,1,6,19.1,28.17,60.11,50.32,66.09,8454.1
DE-A-2021-03,de,A,A4,0.0,40.0,2021-01-14,2021-01-17,4,1,3,23.3,26.6,61.39,52.16,67.41,5007.0
DE-A-2021-04,de,A,A6,0.0,40.0,2021-01-23,2021-01-28,6,1,5,22.2,30.35,62.36,50.65,68.48,7293.8
DE-A-2021-05,de,A,A4,0.0,40.0,2021-01-30,2021-02-02,4,1,3,28.0,30.3,60.32,49.54,67.09,4755.7
DE-A-2021-06,de,A,A5,0.0,40.0,2021-02-09,2021-02-13,5,1,4,21.2,28.02,66.54,55.72,69.91,6686.0
DE-A-2021-07,de,A,A7,0.0,40.0,2021-02-27,2021-03-05,7,1,6,27.7,32.54,59.22,47.63,65.78,8001.8
DE-A-2021-08,de,A,A2,0.0,40.0,2021-03-08,2021-03-09,2,1,1,24.8,26.2,63.15,54.06,70.28,2595.0
DE-A-2021-09,de,A,A3,0.0,40.0,2021-03-17,2021-03-19,3,1,2,24.1,29.63,63.57,52.41,66.73,3773.8
DE-A-2021-10,de,A,A4,0.0,40.0,2021-03-22,2021-03-25,4,1,3,27.0,33.2,62.37,48.67,65.01,4672.1
DE-A-2021-11,de,A,A7,0.0,40.0,2021-04-14,2021-04-20,7,1,6,26.6,33.33,58.38,45.99,60.17,7725.7
DE-A-2021-12,de,A,A2,0.0,40.0,2021-04-30,2021-05-01,2,1,1,30.9,33.1,52.54,42.83,58.05,2055.7
DE-A-2021-13,de,A,A2,0.0,40.0,2021-05-11,2021-05-12,2,1,1,33.4,34.0,58.15,46.67,54.29,2240.3
DE-A-2021-14,de,A,A2,0.0,40.0,2021-05-18,2021-05-19,2,1,1,36.8,37.8,58.28,44.37,55.42,2129.7
DE-A-2021-15,de,A,A4,0.0,40.0,2021-06-07,2021-06-10,4,1,3,33.6,34.5,57.29,45.77,56.35,4394.4
DE-A-2021-16,de,A,A4,0.0,40.0,2021-06-22,2021-06-25,4,1,3,28.5,32.33,57.6,46.99,56.57,4510.9
DE-A-2021-17,de,A,A5,0.0,40.0,2021-06-28,2021-07-02,5,1,4,37.3,38.38,58.78,44.22,55.28,5306.4
DE-A-2021-18,de,A,A3,0.0,40.0,2021-07-07,2021-07-09,3,1,2,26.9,32.97,58.08,46.63,55.9,3357.7
DE-A-2021-19,de,A,A4,0.0,40.0,2021-07-12,2021-07-15,4,1,3,30.5,35.92,58.51,45.25,55.73,4343.8
DE-A-2021-20,de,A,A4,0.0,40.0,2021-07-20,2021-07-23,4,1,3,34.2,35.25,56.93,44.67,55.1,4288.6
DE-A-2021-21,de,A,A3,0.0,40.0,2021-08-03,2021-08-05,3,1,2,30.5,32.3,54.93,45.22,53.96,3255.9
DE-A-2021-22,de,A,A2,0.0,40.0,2021-08-11,2021-08-12,2,1,1,37.4,37.5,54.64,42.47,54.76,2038.5
DE-A-2021-23,de,A,A2,0.0,40.0,2021-08-20,2021-08-21,2,1,1,33.4,36.4,50.84,40.54,54.29,1946.1
DE-A-2021-24,de,A,A2,0.0,40.0,2021-09-01,2021-09-02,2,1,1,35.6,35.65,57.05,44.46,57.21,2134.0
DE-A-2021-25,de,A,A6,0.0,40.0,2021-09-06,2021-09-11,6,1,5,29.3,34.38,55.3,43.67,59.39,6287.9
DE-A-2021-26,de,A,A3,0.0,40.0,2021-09-13,2021-09-15,3,1,2,31.7,32.53,57.45,45.89,60.08,3304.2
DE-A-2021-27,de,A,A2,0.0,40.0,2021-09-17,2021-09-18,2,1,1,32.7,34.35,52.98,42.16,57.9,2023.7
DE-A-2021-28,de,A,A3,0.0,40.0,2021-09-20,2021-09-22,3,1,2,24.9,31.97,57.24,45.97,61.11,3310.1
DE-A-2021-29,de,A,A4,0.0,40.0,2021-09-25,2021-09-28,4,1,3,29.9,36.12,53.08,40.69,62.2,3906.6
DE-A-2021-30,de,A,A2,0.0,40.0,2021-10-07,2021-10-08,2,1,1,22.8,27.45,58.34,49.41,64.76,2371.6
DE-A-2021-31,de,A,A3,0.0,40.0,2021-10-16,2021-10-18,3,1,2,34.7,36.83,54.1,41.03,58.39,2953.9
DE-A-2021-32,de,A,A3,0.0,40.0,2021-11-02,2021-11-04,3,1,2,21.0,27.7,62.19,51.94,66.21,3739.5
DE-A-2021-33,de,A,A10,0.0,40.0,2021-11-08,2021-11-17,10,1,9,14.6,28.54,60.62,50.23,70.88,12055.7
DE-A-2021-34,de,A,A8,0.0,40.0,2021-11-22,2021-11-29,8,1,7,26.3,31.21,62.86,50.04,66.27,9607.1
DE-A-2021-35,de,A,A3,0.0,40.0,2021-12-04,2021-12-06,3,1,2,30.5,34.53,59.83,46.44,64.07,3343.3
DE-A-2021-36,de,A,A3,0.0,40.0,2021-12-09,2021-12-11,3,1,2,24.3,25.7,63.29,54.25,68.59,3906.3
DE-A-2021-37,de,A,A6,0.0,40.0,2021-12-13,2021-12-18,6,1,5,24.1,30.8,63.43,51.12,66.7,7360.7
DE-A-2021-38,de,A,A3,0.0,40.0,2021-12-20,2021-12-22,3,1,2,19.7,24.23,62.14,54.14,66.92,3898.2
