id,country,category,label,band_lower_percent,band_upper_percent,start_date,end_date,length_days,battery_bufferable_days,critical_days,min_renewable_share_percent,avg_renewable_share_percent,avg_load_gw,avg_residual_load_gw,peak_residual_load_gw,residual_energy_gwh
DE-B-2021-01,de,B,B2,40.0,60.0,2021-01-11,2021-01-12,2,1,1,51.8,53.25,68.22,38.79,49.35,1861.8
DE-B-2021-02,de,B,B2,40.0,60.0,2021-02-14,2021-02-15,2,1,1,46.4,47.45,62.64,40.39,55.57,1938.6
DE-B-2021-03,de,B,B3,40.0,60.0,2021-02-17,2021-02-19,3,1,2,51.4,53.37,64.77,37.69,54.24,2713.5
DE-B-2021-04,de,B,B6,40.0,60.0,2021-02-21,2021-02-26,6,1,5,40.0,48.93,59.73,37.88,59.38,5455.0
DE-B-2021-05,de,B,B2,40.0,60.0,2021-03-06,2021-03-07,2,1,1,47.2,50.5,53.53,34.01,48.86,1632.5
DE-B-2021-06,de,B,B2,40.0,60.0,2021-03-15,2021-03-16,2,1,1,44.0,51.7,64.01,38.46,61.11,1846.1
DE-B-2021-07,de,B,B2,40.0,60.0,2021-04-08,2021-04-09,2,1,1,57.3,57.4,62.83,34.05,54.49,1634.4
DE-B-2021-08,de,B,B2,40.0,60.0,2021-04-12,2021-04-13,2,1,1,40.3,43.45,62.37,42.54,55.2,2041.8
DE-B-2021-09,de,B,B7,40.0,60.0,2021-04-23,2021-04-29,7,1,6,41.2,49.71,55.76,35.19,55.67,5912.5
DE-B-2021-10,de,B,B2,40.0,60.0,2021-05-02,2021-05-03,2,1,1,51.5,53.45,52.96,32.39,52.44,1554.5
DE-B-2021-11,de,B,B3,40.0,60.0,2021-05-06,2021-05-08,3,1,2,46.0,51.83,57.41,35.72,58.3,2571.6
DE-B-2021-12,de,B,B5,40.0,60.0,2021-05-13,2021-05-17,5,1,4,40.2,45.08,49.63,35.55,50.09,4265.4
DE-B-2021-13,de,B,B8,40.0,60.0,2021-05-27,2021-06-03,8,1,7,41.4,50.29,53.56,34.74,52.26,6669.3
DE-B-2021-14,de,B,B2,40.0,60.0,2021-06-05,2021-06-06,2,1,1,40.7,41.65,46.27,35.19,43.21,1689.3
DE-B-2021-15,de,B,B4,40.0,60.0,2021-06-16,2021-06-19,4,1,3,41.7,46.25,57.9,39.08,54.69,3751.8
DE-B-2021-16,de,B,B2,40.0,60.0,2021-06-26,2021-06-27,2,1,1,40.2,44.7,46.48,33.67,45.31,1616.3
DE-B-2021-17,de,B,B2,40.0,60.0,2021-07-03,2021-07-04,2,1,1,40.4,41.2,46.66,35.1,46.47,1684.6
DE-B-2021-18,de,B,B2,40.0,60.0,2021-07-10,2021-07-11,2,1,1,42.1,44.25,46.98,33.68,44.8,1616.6
DE-B-2021-19,de,B,B2,40.0,60.0,2021-07-16,2021-07-17,2,1,1,41.6,48.75,53.16,35.38,49.84,1698.4
DE-B-2021-20,de,B,B2,40.0,60.0,2021-07-24,2021-07-25,2,1,1,49.0,49.9,47.27,31.56,45.36,1515.0
DE-B-2021-21,de,B,B2,40.0,60.0,2021-07-27,2021-07-28,2,1,1,40.2,45.25,57.14,39.2,53.01,1881.4
DE-B-2021-22,de,B,B2,40.0,60.0,2021-08-01,2021-08-02,2,1,1,49.3,50.3,49.13,32.41,49.29,1555.7
DE-B-2021-23,de,B,B2,40.0,60.0,2021-08-06,2021-08-07,2,1,1,51.4,52.25,50.65,32.24,43.71,1547.7
DE-B-2021-24,de,B,B2,40.0,60.0,2021-08-09,2021-08-10,2,1,1,44.5,51.95,53.79,34.04,51.63,1633.8
DE-B-2021-25,de,B,B10,40.0,60.0,2021-08-22,2021-08-31,10,1,9,41.2,47.37,53.64,36.21,53.92,8689.8
DE-B-2021-26,de,B,B3,40.0,60.0,2021-10-04,2021-10-06,3,1,2,40.5,41.43,59.49,41.68,59.68,3000.9
DE-B-2021-27,de,B,B4,40.0,60.0,2021-10-09,2021-10-12,4,1,3,41.1,43.77,55.17,37.83,55.18,3631.2
DE-B-2021-28,de,B,B2,40.0,60.0,2021-10-14,2021-10-15,2,1,1,43.9,49.8,62.72,38.44,53.34,1844.9
DE-B-2021-29,de,B,B8,40.0,60.0,2021-10-23,2021-10-30,8,1,7,41.8,48.82,58.69,36.97,56.8,7098.8
DE-B-2021-30,de,B,B4,40.0,60.0,2021-11-18,2021-11-21,4,1,3,42.1,52.85,59.03,34.29,49.14,3291.9
DE-B-2021-31,de,B,B2,40.0,60.0,2021-12-02,2021-12-03,2,1,1,42.6,50.55,69.37,41.33,64.87,1983.6
DE-B-2021-32,de,B,B2,40.0,60.0,2021-12-07,2021-12-08,2,1,1,42.5,44.1,68.72,45.47,61.4,2182.5
DE-B-2021-33,de,B,B2,40.0,60.0,2021-12-23,2021-12-24,2,1,1,41.4,48.4,56.36,36.18,51.82,1736.5
DE-B-2021-34,de,B,B4,40.0,60.0,2021-12-26,2021-12-29,4,1,3,42.7,46.9,53.57,35.39,47.7,3397.4
